Potential,Flux
18.459,0.112341374
18.385908408408408,0.11096159
18.312816816816817,0.10959331
18.239725225225225,0.10823927
18.166633633633634,0.10689143
18.093542042042042,0.105560586
18.02045045045045,0.104239345
17.94735885885886,0.102930255
17.874267267267268,0.10163229
17.801175675675676,0.10034624
17.728084084084085,0.09907121
17.654992492492493,0.097807966
17.5819009009009,0.09655715
17.50880930930931,0.095318034
17.43571771771772,0.09408821
17.362626126126127,0.09287398
17.289534534534535,0.09166997
17.216442942942944,0.09047571
17.14335135135135,0.08929606
17.07025975975976,0.08812425
16.997168168168166,0.08696739
16.924076576576574,0.08582092
16.850984984984983,0.08468623
16.77789339339339,0.083561696
16.7048018018018,0.08245059
16.63171021021021,0.08134947
16.558618618618617,0.080260836
16.485527027027025,0.07918291
16.412435435435434,0.07811576
16.339343843843842,0.07706073
16.26625225225225,0.076015614
16.19316066066066,0.07498507
16.120069069069068,0.0739605
16.046977477477476,0.07295191
15.973885885885885,0.07195215
15.900794294294293,0.07096297
15.827702702702702,0.06998532
15.75461111111111,0.06901801
15.681519519519519,0.06805954
15.608427927927927,0.0671151
15.535336336336336,0.06617881
15.462244744744744,0.06525466
15.389153153153153,0.06434046
15.316061561561561,0.06343533
15.24296996996997,0.06254092
15.169878378378378,0.061657567
15.096786786786787,0.060784243
15.023695195195195,0.059920713
14.950603603603604,0.05906839
14.877512012012012,0.058223832
14.804420420420419,0.057389803
14.731328828828829,0.056564648
14.658237237237236,0.05574966
14.585145645645644,0.054944
14.512054054054055,0.054147344
14.438962462462461,0.053362597
14.365870870870872,0.052585866
14.292779279279278,0.051816814
14.219687687687687,0.051056553
14.146596096096095,0.050305486
14.073504504504504,0.04956508
14.000412912912912,0.048831243
13.92732132132132,0.04810742
13.854229729729727,0.047390934
13.781138138138138,0.046682768
13.708046546546546,0.04598409
13.634954954954953,0.045292456
13.561863363363363,0.044610016
13.48877177177177,0.043935005
13.415680180180178,0.043266598
13.342588588588587,0.042607784
13.269496996996995,0.041954733
13.196405405405404,0.041309416
13.123313813813812,0.040671766
13.05022222222222,0.040042046
12.97713063063063,0.039416965
12.904039039039038,0.038804125
12.830947447447446,0.038194917
12.757855855855855,0.037592184
12.684764264264263,0.036998622
12.611672672672672,0.036407538
12.53858108108108,0.035825897
12.465489489489489,0.03524721
12.392397897897897,0.034678716
12.319306306306306,0.034114536
12.246214714714714,0.03355818
12.173123123123123,0.033004396
12.100031531531531,0.03245728
12.02693993993994,0.031914074
11.953848348348348,0.031379964
11.880756756756757,0.03085032
11.807665165165165,0.03032518
11.734573573573572,0.02980262
11.661481981981982,0.029288454
11.58839039039039,0.028775614
11.515298798798797,0.028270574
11.442207207207206,0.02777133
11.369115615615616,0.027269876
11.296024024024025,0.026780827
11.222932432432431,0.026289174
11.149840840840838,0.025804503
11.07674924924925,0.025324594
11.003657657657657,0.024846207
10.930566066066064,0.024371842
10.857474474474472,0.023901617
10.784382882882882,0.023434915
10.711291291291289,0.022968916
10.638199699699697,0.02250727
10.565108108108108,0.022048546
10.492016516516514,0.02159365
10.418924924924923,0.021139216
10.345833333333331,0.020687878
10.272741741741742,0.020239413
10.199650150150148,0.019792592
10.126558558558557,0.019348077
10.053466966966965,0.01890496
9.980375375375374,0.01846365
9.907283783783782,0.018022725
9.83419219219219,0.017586118
9.7611006006006,0.01714666
9.688009009009008,0.01671011
9.614917417417416,0.016277106
9.541825825825825,0.015837163
9.468734234234233,0.015404287
9.395642642642642,0.014968308
9.32255105105105,0.014535651
9.249459459459457,0.014099113
9.176367867867867,0.013667172
9.103276276276276,0.013230872
9.030184684684682,0.012794484
8.957093093093093,0.012358519
8.884001501501501,0.0119201215
8.810909909909908,0.011483774
8.737818318318316,0.011043256
8.664726726726727,0.010600536
8.591635135135133,0.010158239
8.518543543543542,0.009712053
8.44545195195195,0.009268651
8.372360360360359,0.00881623
8.299268768768767,0.008363633
8.226177177177176,0.007908546
8.153085585585584,0.007448593
8.079993993993993,0.006991082
8.006902402402401,0.006524612
7.933810810810808,0.0060576466
7.860719219219218,0.0055843703
7.787627627627627,0.005110731
7.7145360360360336,0.00462948
7.641444444444442,0.004145371
7.568352852852852,0.003656726
7.495261261261259,0.0031597866
7.4221696696696675,0.0026603828
7.349078078078078,0.0021550995
7.2759864864864845,0.0016415473
7.202894894894893,0.001125721
7.1298033033033015,0.0005990582
7.05671171171171,6.8025256e-05
6.9836201201201185,-0.00046950975
6.910528528528527,-0.001015291
6.837436936936935,-0.0015686889
6.764345345345344,-0.0021279117
6.691253753753752,-0.0026972685
6.618162162162161,-0.0032756247
6.545070570570569,-0.0038595726
6.471978978978978,-0.0044570267
6.398887387387386,-0.005061325
6.325795795795793,-0.0056773955
6.252704204204203,-0.0063023716
6.179612612612612,-0.0069372286
6.106521021021019,-0.0075872536
6.033429429429427,-0.008245216
5.960337837837837,-0.0089121815
5.887246246246244,-0.009597363
5.8141546546546525,-0.010290606
5.741063063063063,-0.011000441
5.6679714714714695,-0.011718734
5.594879879879878,-0.012457382
5.5217882882882865,-0.013206829
5.448696696696695,-0.01397306
5.3756051051051035,-0.014751287
5.302513513513512,-0.015545294
5.229421921921919,-0.016359063
5.156330330330329,-0.017191269
5.083238738738737,-0.018033396
5.010147147147144,-0.018899763
4.937055555555554,-0.019779323
4.863963963963963,-0.02068459
4.79087237237237,-0.021602526
4.71778078078078,-0.022546848
4.644689189189187,-0.023510221
4.571597597597595,-0.024493732
4.498506006006005,-0.025499124
4.425414414414412,-0.026526658
4.352322822822822,-0.027578989
4.279231231231231,-0.028653214
4.2061396396396376,-0.02975609
4.133048048048048,-0.03088591
4.059956456456453,-0.032035217
3.986864864864863,-0.033219848
3.9137732732732733,-0.03442444
3.8406816816816782,-0.035664603
3.7675900900900885,-0.036924593
3.6944984984984988,-0.038225383
3.6214069069069037,-0.03955589
3.548315315315314,-0.04091638
3.4752237237237242,-0.042310867
3.402132132132129,-0.043738093
3.3290405405405394,-0.04520416
3.255948948948946,-0.046700653
3.1828573573573546,-0.04823676
3.109765765765765,-0.049813528
3.0366741741741716,-0.051428977
2.96358258258258,-0.05308537
2.8904909909909904,-0.054783896
2.817399399399397,-0.056525894
2.7443078078078056,-0.058309022
2.671216216216216,-0.060139418
2.5981246246246226,-0.06201769
2.525033033033031,-0.06394522
2.4519414414414378,-0.06591897
2.3788498498498463,-0.06794513
2.3057582582582583,-0.070018396
2.2326666666666632,-0.07215405
2.1595750750750717,-0.07434155
2.086483483483484,-0.07658416
2.0133918918918887,-0.078887776
1.9403003003002972,-0.08124949
1.8672087087087093,-0.08367229
1.7941171171171142,-0.08616369
1.7210255255255227,-0.088715546
1.6479339339339312,-0.091341056
1.5748423423423397,-0.09402932
1.5017507507507482,-0.09679213
1.4286591591591566,-0.09962959
1.3555675675675651,-0.102538146
1.2824759759759736,-0.105526365
1.2093843843843821,-0.10859579
1.1362927927927906,-0.11174731
1.063201201201199,-0.114981584
0.9901096096096076,-0.118300386
0.9170180180180161,-0.12170944
0.8439264264264246,-0.12520728
0.7708348348348331,-0.12880091
0.6977432432432416,-0.13249028
0.62465165165165,-0.13628498
0.5515600600600585,-0.14017506
0.478468468468467,-0.14417344
0.4053768768768755,-0.14827745
0.332285285285284,-0.15249288
0.2591936936936925,-0.1568153
0.18610210210210099,-0.16126452
0.11301051051050948,-0.16582951
0.039918918918914414,-0.17051822
-0.03317267267267354,-0.17533349
-0.10626426426426505,-0.18028241
-0.1793558558558601,-0.18535629
-0.25244744744744807,-0.1905745
-0.3255390390390396,-0.19593051
-0.39863063063063464,-0.20143217
-0.4717222222222226,-0.20708603
-0.5448138138138141,-0.21288577
-0.6179054054054092,-0.21884522
-0.6909969969969971,-0.2249674
-0.7640885885885922,-0.23125237
-0.8371801801801837,-0.23770407
-0.9102717717717717,-0.24433683
-0.9833633633633667,-0.2511466
-1.0564549549549582,-0.2581361
-1.1295465465465462,-0.26531634
-1.2026381381381412,-0.27268627
-1.2757297297297328,-0.28025842
-1.3488213213213207,-0.28802684
-1.4219129129129158,-0.29601356
-1.4950045045045073,-0.3042078
-1.5680960960960988,-0.3126243
-1.6411876876876903,-0.32125846
-1.7142792792792818,-0.3301276
-1.7873708708708733,-0.33923545
-1.8604624624624648,-0.34858462
-1.9335540540540563,-0.3581784
-2.006645645645648,-0.36803114
-2.0797372372372394,-0.37814322
-2.152828828828831,-0.38851938
-2.2259204204204224,-0.39917445
-2.299012012012014,-0.4101031
-2.372103603603609,-0.42132166
-2.445195195195197,-0.43283543
-2.5182867867867884,-0.44464886
-2.5913783783783835,-0.45676988
-2.6644699699699714,-0.46920705
-2.737561561561563,-0.48196238
-2.810653153153158,-0.49505094
-2.883744744744746,-0.5084769
-2.9568363363363375,-0.5222524
-3.0299279279279325,-0.53638077
-3.1030195195195205,-0.5508656
-3.1761111111111155,-0.5657195
-3.249202702702707,-0.580955
-3.322294294294295,-0.5965739
-3.39538588588589,-0.6125889
-3.4684774774774816,-0.629006
-3.5415690690690695,-0.6458383
-3.6146606606606646,-0.66308165
-3.687752252252256,-0.6807634
-3.760843843843844,-0.698879
-3.833935435435439,-0.71744007
-3.9070270270270306,-0.73645496
-3.980118618618622,-0.75594145
-4.053210210210214,-0.7759026
-4.126301801801805,-0.7963387
-4.199393393393397,-0.8172793
-4.272484984984988,-0.83871514
-4.34557657657658,-0.8606692
-4.418668168168171,-0.8831402
-4.491759759759763,-0.90614563
-4.564851351351354,-0.9296886
-4.637942942942946,-0.9537799
-4.711034534534537,-0.97843874
-4.784126126126129,-1.003666
-4.85721771771772,-1.0294738
-4.930309309309312,-1.0558659
-5.003400900900903,-1.0828588
-5.076492492492495,-1.1104599
-5.149584084084086,-1.1386834
-5.222675675675678,-1.167529
-5.295767267267269,-1.197013
-5.368858858858861,-1.2271432
-5.441950450450452,-1.2579302
-5.515042042042044,-1.2893765
-5.588133633633639,-1.3215014
-5.661225225225227,-1.3543068
-5.734316816816818,-1.3877976
-5.807408408408413,-1.4219879
-5.880500000000001,-1.4568815
-5.953591591591593,-1.492495
-6.026683183183188,-1.5288285
-6.099774774774776,-1.565892
-6.172866366366367,-1.6036847
-6.2459579579579625,-1.6422154
-6.3190495495495504,-1.6814995
-6.3921411411411455,-1.7215358
-6.465232732732737,-1.7623248
-6.538324324324325,-1.8038789
-6.61141591591592,-1.8462025
-6.6845075075075115,-1.8892971
-6.7575990990990995,-1.9331601
-6.830690690690695,-1.9777921
-6.903782282282286,-2.0232015
-6.976873873873874,-2.0693944
-7.049965465465469,-2.1163528
-7.123057057057061,-2.164092
-7.196148648648652,-2.212603
-7.269240240240244,-2.261882
-7.342331831831835,-2.3119373
-7.415423423423427,-2.3627515
-7.488515015015018,-2.4143188
-7.56160660660661,-2.4666412
-7.634698198198201,-2.5196989
-7.707789789789793,-2.5734992
-7.780881381381384,-2.6280212
-7.853972972972976,-2.6832538
-7.927064564564567,-2.73919
-8.000156156156162,-2.795808
-8.07324774774775,-2.8531055
-8.146339339339342,-2.911046
-8.219430930930937,-2.9696407
-8.292522522522525,-3.0288384
-8.365614114114116,-3.088641
-8.438705705705711,-3.149025
-8.5117972972973,-3.2099502
-8.58488888888889,-3.2714128
-8.657980480480486,-3.3333676
-8.731072072072074,-3.3958032
-8.804163663663669,-3.458678
-8.87725525525526,-3.5219705
-8.950346846846848,-3.5856442
-9.02343843843844,-3.6496649
-9.096530030030031,-3.7139978
-9.169621621621626,-3.7786129
-9.242713213213218,-3.8434641
-9.31580480480481,-3.9085155
-9.388896396396397,-3.9737227
-9.461987987987989,-4.039051
-9.535079579579584,-4.104451
-9.608171171171175,-4.169892
-9.681262762762767,-4.2353067
-9.754354354354355,-4.300661
-9.827445945945946,-4.3659153
-9.900537537537538,-4.4310174
-9.973629129129133,-4.4958997
-10.046720720720725,-4.5605507
-10.119812312312316,-4.624884
-10.192903903903904,-4.688878
-10.265995495495496,-4.752464
-10.339087087087094,-4.8156033
-10.412178678678682,-4.878225
-10.485270270270274,-4.940294
-10.558361861861865,-5.0017543
-10.631453453453453,-5.062557
-10.704545045045045,-5.122647
-10.777636636636643,-5.181984
-10.850728228228231,-5.2405033
-10.923819819819823,-5.2981734
-10.996911411411414,-5.3549423
-11.070003003003002,-5.4107466
-11.1430945945946,-5.465549
-11.216186186186192,-5.5193005
-11.28927777777778,-5.571967
-11.362369369369372,-5.623501
-11.435460960960963,-5.6738667
-11.508552552552551,-5.723015
-11.58164414414415,-5.7709026
-11.654735735735741,-5.8175
-11.72782732732733,-5.862788
-11.80091891891892,-5.9067106
-11.874010510510512,-5.949245
-11.947102102102107,-5.9903593
-12.020193693693699,-6.0300426
-12.09328528528529,-6.068249
-12.166376876876878,-6.1049757
